City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Bhuj,IN,23.2667,69.6667,63.23,61,2,7.18,clear sky
317,Salalah,OM,17.0151,54.0924,78.89,50,75,10.36,broken clouds
318,Panacan,PH,9.2463,118.4082,83.44,73,89,11.3,overcast clouds
319,Uruacu,BR,-14.5247,-49.1408,70.16,94,100,0.76,overcast clouds
320,Tashtyp,RU,52.7939,89.8983,-2.18,92,100,5.5,overcast clouds
321,Nome,US,64.5011,-165.4064,8.67,66,1,17.27,clear sky
322,Bahile,PH,9.9995,118.7878,86.2,61,5,1.99,clear sky
323,Dhidhdhoo,MV,6.8833,73.1,81.32,79,100,9.4,overcast clouds
324,Knysna,ZA,-34.0363,23.0471,66.58,97,97,4.54,overcast clouds
325,Kautokeino,NO,69.0125,23.0412,1.94,100,98,0.78,overcast clouds
326,Nyurba,RU,63.2842,118.3319,-3.95,93,100,8.55,overcast clouds
327,Gorey,IE,52.6747,-6.2925,39.7,79,13,17.43,few clouds
328,Chokurdakh,RU,70.6333,147.9167,-47.65,100,72,3.62,broken clouds
329,Maraba,BR,-5.3686,-49.1178,73.6,98,99,0.78,overcast clouds
330,Atar,MR,20.5169,-13.0499,63.43,14,98,10.2,overcast clouds
331,Xalpatlahuac,MX,17.4667,-98.6167,62.08,81,59,4.05,broken clouds
332,Gilgit,PK,35.9221,74.3087,29.48,38,0,3.78,clear sky
333,Viedma,AR,-40.8135,-62.9967,59.2,83,0,10.2,clear sky
334,Itoman,JP,26.1247,127.6694,74.17,50,20,11.5,few clouds
335,Aberdeen,GB,57.1437,-2.0981,39.69,93,100,8.05,overcast clouds
336,Vestmanna,FO,62.1564,-7.1664,41.92,81,75,16.11,broken clouds
337,Pocking,DE,48.4,13.3167,36.25,96,99,2.75,overcast clouds
338,Shu,KZ,43.5983,73.7614,25.97,56,0,5.06,clear sky
