City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Banjarmasin,ID,2021-12-08 14:52:34,-3.3244,114.591,78.94,94,87,2.91
254,Kysyl-Syr,RU,2021-12-08 14:52:34,63.8986,122.7617,-22.16,99,100,3.91
255,Caravelas,BR,2021-12-08 14:52:34,-17.7125,-39.2481,77.23,84,96,2.24
256,Itarema,BR,2021-12-08 14:52:35,-2.9248,-39.9167,89.76,53,14,17.65
257,Saint-Augustin,CA,2021-12-08 14:52:35,51.226,-58.6502,17.28,42,0,18.61
258,Namatanai,PG,2021-12-08 14:52:36,-3.6667,152.4333,80.13,80,100,5.68
259,Benguela,AO,2021-12-08 14:52:36,-12.5763,13.4055,80.53,67,95,9.1
260,Killybegs,IE,2021-12-08 14:52:36,54.6333,-8.45,46.11,83,100,40.35
261,Virginia Beach,US,2021-12-08 14:48:20,36.8529,-75.978,46.45,91,90,9.22
262,Sur,OM,2021-12-08 14:52:37,22.5667,59.5289,74.46,59,0,12.21
263,Atagay,RU,2021-12-08 14:52:37,55.1033,99.3875,12.54,84,82,8.46
264,Dalby,AU,2021-12-08 14:52:38,-27.1833,151.2667,68.99,91,90,1.01
265,Faya,SA,2021-12-08 14:52:38,18.3851,42.4509,66.31,60,0,7.67
266,Mecca,SA,2021-12-08 14:52:39,21.4267,39.8261,82.58,53,93,12.95
267,Jizan,SA,2021-12-08 14:52:39,17.3333,42.6667,85.14,63,0,7.49
268,Strelka,RU,2021-12-08 14:52:39,58.0728,93.0344,-0.24,94,98,6.82
269,Birao,CF,2021-12-08 14:52:40,10.2849,22.7882,94.95,11,6,8.99
270,Marawi,PH,2021-12-08 14:52:40,7.9986,124.2928,67.64,96,73,1.88
271,Saint-Francois,FR,2021-12-08 14:52:40,46.4154,3.9054,44.04,76,75,4.61
272,Namibe,AO,2021-12-08 14:52:41,-15.1961,12.1522,75.83,64,20,17.27
273,San Patricio,US,2021-12-08 14:52:41,28.017,-97.5169,65.88,69,16,3.33
274,Port Hedland,AU,2021-12-08 14:53:42,-20.3167,118.5667,84.25,65,4,6.91
275,Samarai,PG,2021-12-08 14:53:42,-10.6167,150.6667,81.19,83,99,7.0
276,Fortuna,US,2021-12-08 14:53:43,40.5982,-124.1573,52.36,70,100,1.99
277,Milotice,CZ,2021-12-08 14:53:43,48.9553,17.1424,36.75,82,76,10.2
278,Say,NE,2021-12-08 14:53:44,13.1007,2.3689,91.96,9,3,11.52
279,Port Lincoln,AU,2021-12-08 14:53:44,-34.7333,135.8667,55.13,63,7,15.17
280,Wisconsin Rapids,US,2021-12-08 14:53:45,44.3836,-89.8174,14.45,92,1,5.75
281,Dakar,SN,2021-12-08 14:50:52,14.6937,-17.4441,94.08,47,100,6.91
282,Vestmannaeyjar,IS,2021-12-08 14:53:45,63.4427,-20.2734,40.19,81,20,25.32
283,Acajutla,SV,2021-12-08 14:53:46,13.5928,-89.8275,85.26,55,70,0.63
284,Wagar,SD,2021-12-08 14:53:46,16.1525,36.2032,90.95,20,0,7.29
285,Mount Isa,AU,2021-12-08 14:53:46,-20.7333,139.5,85.77,19,40,9.22
286,Lavrentiya,RU,2021-12-08 14:53:47,65.5833,-171.0,-3.95,88,55,8.19
287,Jackson,US,2021-12-08 14:53:47,42.4165,-122.8345,45.64,91,100,0.27
288,Duayaw Nkwanta,GH,2021-12-08 14:53:48,7.1724,-2.1028,95.95,22,7,4.74
289,Eydhafushi,MV,2021-12-08 14:53:48,5.1033,73.0708,81.64,76,31,8.16
290,Norfolk,US,2021-12-08 14:52:36,42.1668,-71.2495,37.74,66,1,0.0
291,Nakasongola,UG,2021-12-08 14:53:48,1.3089,32.4564,81.7,35,100,3.6
292,Clyde River,CA,2021-12-08 14:53:49,70.4692,-68.5914,7.03,78,100,9.22
293,Krasnoselkup,RU,2021-12-08 14:53:49,65.7,82.4667,5.13,87,100,22.66
294,Yambio,SS,2021-12-08 14:53:50,4.5721,28.3955,90.0,28,52,3.78
